include	status	name	cat	variants	flags	replaces	near	source_title	url
y	new	British Army 0000s WP Brown Jungle Combat Boots	Footwear	1	date-unknown			British Army WP Brown Jungle Combat Boots - Size 8M	https://lambrino.co.uk/products/british-army-wp-brown-jungle-combat-boots-size
y	new	British Army 0000s Women's Altberg Defender Black Combat Boots	Footwear	2	date-unknown			British Army Altberg Defender Black Combat Boots - Women's Size 7L	https://lambrino.co.uk/products/british-army-altberg-defender-black-combat-boots-womens-size-1
y	new	British Army 0000s Women's HAIX Brown Combat Boots	Footwear	2	date-unknown			British Army HAIX Brown Combat Boots - Women's Size 6M	https://lambrino.co.uk/products/british-army-haix-brown-combat-boots-womens-size-1
y	new	British Army 0000s YDS Kestrel Brown Patrol Boots	Footwear	1	date-unknown			British Army YDS Kestrel Brown Patrol Boots - Size 9M	https://lambrino.co.uk/products/british-army-yds-kestrel-brown-patrol-boots-size
y	new	British RAF 0000s 70's Black Dress Shoes	Footwear	1	date-unknown			British RAF 70's Black Dress Shoes - Size 10	https://lambrino.co.uk/products/british-raf-black-dress-shoes-size-10
y	new	British Army 0000s 8.5 Cotton Hospital Gloves	Hardware / Misc	1	date-unknown			British Army Cotton Hospital Gloves - 8.5 Large	https://lambrino.co.uk/products/british-army-cotton-hospital-gloves
y	new	British Army 0000s Adjutant General Corps Stable Belt	Hardware / Misc	4	date-unknown			British Army Stable Belt - Adjutant General Corps - Medium	https://lambrino.co.uk/products/british-army-stable-belt-adjutant-general-corps-medium
y	new	British Army 0000s Black Leather Belt	Hardware / Misc	2	date-unknown			British Army Black Leather Belt - Large / X Large SIZE 5	https://lambrino.co.uk/products/british-army-black-leather-belt-1
y	new	British Army 0000s Black Leather Sam Browne Shoulder Strap Belt	Hardware / Misc	1	date-unknown			British Army Black Leather Sam Browne Belt Shoulder Strap - L36	https://lambrino.co.uk/products/british-army-black-leather-sam-browne-belt-shoulder-strap-l
y	new	British Army 0000s Black Sam Browne's Leather Belt	Hardware / Misc	1	date-unknown			British Army Black Sam Browne's Leather Belt - Large	https://lambrino.co.uk/products/british-army-black-sam-brownes-leather-belt
y	new	British Army 0000s Blue No.5 Ceremonial Sword Sling Belt	Hardware / Misc	1	date-unknown			British Army Blue No. 5 Ceremonial Sword Sling Belt - Small / Medium	https://lambrino.co.uk/products/british-army-blue-no-5-ceremonial-sword-sling-belt
y	new	British Army 0000s Brown Leather Sam Browne Shoulder Strap Belt	Hardware / Misc	1	date-unknown			British Army Brown Leather Sam Browne Belt Shoulder Strap - Size 6	https://lambrino.co.uk/products/british-army-brown-leather-sam-browne-belt-shoulder-strap
y	new	British Army 0000s Brown Sam Browne's Leather Belt	Hardware / Misc	3	date-unknown			British Army Brown Sam Browne's Leather Belt - Large	https://lambrino.co.uk/products/british-army-brown-sam-brownes-leather-belt-2
y	new	British Army 0000s Dark Brown Leather Belt	Hardware / Misc	2	date-unknown			British Army Dark Brown Leather Belt - Large	https://lambrino.co.uk/products/british-army-dark-brown-leather-belt
y	new	British Army 0000s Dark Brown Leather Sam Browne Shoulder Strap Belt	Hardware / Misc	1	date-unknown			British Army Dark Brown Leather Sam Browne Belt Shoulder Strap - Size 6 L42"	https://lambrino.co.uk/products/british-army-dark-brown-leather-sam-browne-belt-shoulder-strap
y	new	British Army 0000s Desert DPM Warm Weather Leather Gloves	Hardware / Misc	1	date-unknown			British Army Desert DPM Camouflage Warm Weather Leather Gloves - X Large SIZE 10	https://lambrino.co.uk/products/british-army-desert-dpm-camouflage-warm-weather-leather-gloves
y	new	British Army 0000s Dress Braces Suspenders Item	Hardware / Misc	1	date-unknown,type-from-product-type			British Army Dress Braces / Suspenders	https://lambrino.co.uk/products/british-army-braces-suspenders
y	new	British Army 0000s Gold Gilt Sword Sling Item	Hardware / Misc	1	date-unknown,type-from-product-type,fabric-unknown			British Army Gold Gilt Sword Sling L32"	https://lambrino.co.uk/products/british-army-gold-gilt-sword-sling
y	new	British Army 0000s Gold Gilt Sword Sling Strap Item	Hardware / Misc	10	date-unknown,type-from-product-type			British Army Gold Gilt Sword Sling Strap - L28	https://lambrino.co.uk/products/british-army-gold-gilt-sword-sling-strap-10
y	new	British Army 0000s Household Cavalry Officer's White Dress Belt	Hardware / Misc	1	date-unknown			British Army Household Cavalry Officer's White Dress Belt - Medium	https://lambrino.co.uk/products/british-army-white-dress-belt
y	new	British Army 0000s Mercian Regiment White Dress Belt	Hardware / Misc	1	date-unknown,fabric-unknown			British Army White Dress Belt - Mercian Regiment - Medium	https://lambrino.co.uk/products/british-army-white-dress-belt-mercian-regiment
y	new	British Army 0000s No.2 Dress All Ranks Stone Knitted Tie	Hardware / Misc	1	date-unknown			British Army No 2 Dress All Ranks Stone Knitted Tie	https://lambrino.co.uk/products/british-army-no-2-dress-all-ranks-stone-knitted-tie
y	new	British Army 0000s No.2 Dress Barracks Brown FAD with Staybrite Buckle Belt	Hardware / Misc	1	date-unknown			British Army No2 Dress Barracks Brown FAD Belt w/ Staybrite Buckle	https://lambrino.co.uk/products/british-army-no2-dress-barracks-brown-belt
y	new	British Army 0000s No.6 Uniform Dress Women's Slacks Item	Hardware / Misc	1	date-unknown,type-from-product-type			British Army No. 6 Uniform Dress Women's Slacks - W29 L33	https://lambrino.co.uk/products/british-army-no-6-uniform-dress-womens-slacks
y	new	British Army 0000s Oxblood Leather Belt	Hardware / Misc	1	date-unknown			British Army Oxblood Leather Belt - Large	https://lambrino.co.uk/products/british-army-oxblood-leather-belt
y	new	British Army 0000s Oxblood Leather Sam Browne Shoulder Strap Belt	Hardware / Misc	3	date-unknown			British Army Oxblood Leather Sam Browne Belt Shoulder Strap - L39	https://lambrino.co.uk/products/british-army-oxblood-leather-sam-browne-belt-shoulder-strap-l-1
y	new	British Army 0000s Oxblood Sam Browne's Leather Belt	Hardware / Misc	2	date-unknown			British Army Oxblood Sam Browne's Leather Belt - Medium / Large	https://lambrino.co.uk/products/british-army-oxblood-sam-brownes-leather-belt
y	new	British Army 0000s PTI Instructor Stable Belt	Hardware / Misc	1	date-unknown,fabric-unknown			British Army Stable Belt - PTI Instructor - Medium	https://lambrino.co.uk/products/british-army-stable-belt-pti-instructor
y	new	British Army 0000s Red Ceremonial Sash Item	Hardware / Misc	1	date-unknown,type-from-product-type			British Army Vintage Red Ceremonial Sash	https://lambrino.co.uk/products/british-army-vintage-red-ceremonial-sash
y	new	British Army 0000s Royal Academy Sandhurst Stable Belt	Hardware / Misc	1	date-unknown,fabric-unknown			British Army Royal Military Academy Sandhurst Stable Belt - Small	https://lambrino.co.uk/products/british-army-royal-military-academy-sandhurst-stable-belt
y	new	British Army 0000s Royal Highland Fusiliers Brown PVC Belt	Hardware / Misc	1	date-unknown,fabric-unknown			British Army Brown PVC Belt - Royal Highland Fusiliers - Small / Medium	https://lambrino.co.uk/products/british-army-brown-pvc-belt-queens-own-highlanders
y	new	British Army 0000s Royal Logistic Corps Stable Belt	Hardware / Misc	1	date-unknown			British Army Stable Belt - Royal Logistic Corps - Medium	https://lambrino.co.uk/products/british-army-stable-belt
y	new	British Army 0000s Royal Observer Corps Stable Belt	Hardware / Misc	1	date-unknown,fabric-unknown			British Army Royal Observer Corps Stable Belt	https://lambrino.co.uk/products/british-army-royal-observer-corps-stable-belt
y	new	British Army 0000s Royal Regiment of Scotland Sporran with Belt	Hardware / Misc	1	date-unknown			British Army Royal Regiment of Scotland Sporran w/ Belt	https://lambrino.co.uk/products/british-army-royal-regiment-of-scotland-sporran-w-belt
y	new	British Army 0000s Royal Regiment of Scotland White Dress Belt	Hardware / Misc	1	date-unknown,fabric-unknown			British Army White Dress Belt - Royal Regiment of Scotland - Small	https://lambrino.co.uk/products/british-army-white-dress-belt-royal-regiment-of-scotland
y	new	British Army 0000s Stable Belt	Hardware / Misc	1	date-unknown			British Army Stable Belt - Small / Medium	https://lambrino.co.uk/products/british-army-stable-belt-2
y	new	British Army 0000s The Rifles Black Plastic Sword Belt	Hardware / Misc	1	date-unknown,fabric-unknown			British Army Black Plastic Belt Sword - The Rifles - Medium	https://lambrino.co.uk/products/british-army-black-plastic-belt-sword-the-rifles
y	new	British Army 0000s White Belt	Hardware / Misc	1	date-unknown			British Army White Belt - Medium / Large	https://lambrino.co.uk/products/british-army-white-belt
y	new	British Army 0000s White Ceremonial SA80 Scabbard Frog Item	Hardware / Misc	1	date-unknown,type-from-product-type			British Army White Ceremonial SA80 Scabbard Frog	https://lambrino.co.uk/products/british-army-white-scabbard
y	new	British Army 0000s White Dress Belt	Hardware / Misc	3	date-unknown,fabric-unknown			British Army White Dress Belt - Medium	https://lambrino.co.uk/products/british-army-white-dress-belt-3
y	new	British Army 0000s White Dress with Frog Scabbard Belt	Hardware / Misc	1	date-unknown,fabric-unknown			British Army White Dress Belt w/ Frog Scabbard - Large	https://lambrino.co.uk/products/british-army-white-dress-belt-w-frog-scabbard
y	new	British Army 1990s SAS Gulf War Water Bladder Chagal Item	Hardware / Misc	1	type-from-product-type			British Army 90s SAS Issue Gulf War Water Bladder Chagal	https://lambrino.co.uk/products/british-army-90s-gulf-war-water-bladder
y	new	British Army 2010s 1KG Bulk Pack Scrim Garnish Pack Item	Hardware / Misc	1	type-from-product-type,fabric-unknown			British Army MTP Camouflage Scrim Garnish Pack - 1KG Bulk Pack	https://lambrino.co.uk/products/british-army-mtp-camouflage-scrim-garnish-pack-1kg-bulk-pack
y	new	British Army 2010s Scrim Garnish Pack Item	Hardware / Misc	1	type-from-product-type,fabric-unknown			British Army MTP Camouflage Scrim Garnish Pack	https://lambrino.co.uk/products/british-army-mtp-camouflage-scrim-garnish-pack
y	new	British Army 2010s Warm Weather Leather Gloves	Hardware / Misc	1				British Army MTP Camouflage Warm Weather Leather Gloves - Medium SIZE 7	https://lambrino.co.uk/products/british-army-mtp-camouflage-warm-weather-leather-gloves
y	new	British MoD 0000s Home Office Clip On Tie	Hardware / Misc	1	date-unknown			British MoD Home Office Navy Clip On Tie	https://lambrino.co.uk/products/british-mod-home-office-navy-clip-on-tie
y	new	British RAF 0000s Cold Weather Gloves	Hardware / Misc	1	date-unknown			British Royal Air Force Cold Weather Gloves - Small Medium	https://lambrino.co.uk/products/british-royal-air-force-cold-weather-gloves-small-medium
y	new	British RAF 0000s Regiment Stable Belt	Hardware / Misc	1	date-unknown			British RAF Regiment Stable Belt - L36	https://lambrino.co.uk/products/british-raf-regiment-stable-belt
y	new	British RAF 1940s Blue Mess Dress Cummerbund Item	Hardware / Misc	1	type-from-product-type,fabric-unknown			British RAF 40s Blue Mess Dress Cummerbund - Small	https://lambrino.co.uk/products/british-raf-blue-mess-dress-cummerbund
y	new	British Royal Marines 0000s Lovat No.5 Dress Belt	Hardware / Misc	1	date-unknown			British Royal Marines Lovat No 5 Dress Belt - L34	https://lambrino.co.uk/products/british-royal-marines-lovat-no-5-dress-belt
y	new	British Royal Marines 0000s Scarlet Mess Dress Cummerbund Item	Hardware / Misc	2	date-unknown,type-from-product-type,fabric-unknown			British Royal Marines Scarlet Mess Dress Cummerbund - Large 96-106cm	https://lambrino.co.uk/products/british-royal-marines-scarlet-mess-dress-cummerbund-1
y	new	British Royal Navy 0000s Black Mess Dress Cummerbund Item	Hardware / Misc	1	date-unknown,type-from-product-type,fabric-unknown			British Royal Navy Black Mess Dress Cummerbund - Small 76-86cm	https://lambrino.co.uk/products/british-royal-navy-black-mess-dress-cummerbund
y	new	British Royal Navy 0000s Gold Gilt Sword Sling Strap Item	Hardware / Misc	2	date-unknown,type-from-product-type			British Navy Gold Gilt Sword Sling Strap - L29	https://lambrino.co.uk/products/british-navy-gold-gilt-sword-sling-strap
y	new	British Royal Navy 0000s Stable Belt	Hardware / Misc	2	date-unknown			British Royal Navy Stable Belt - Medium	https://lambrino.co.uk/products/british-royal-navy-stable-belt-medium
y	new	British Royal Navy 1940s Denim Blue Ratings Collar Item	Hardware / Misc	1	type-from-product-type			British Royal Navy WW2 Denim Blue Ratings Collar	https://lambrino.co.uk/products/british-royal-navy-ww2-jean-blue-ratings-collar
y	new	British Royal Navy 1940s Jean Blue Ratings Collar Cotton Item	Hardware / Misc	1	type-from-product-type			British Royal Navy WW2 Jean Blue Ratings Collar	https://lambrino.co.uk/products/british-royal-navy-ww2-jean-blue-ratings-collar-1
y	new	British Royal Navy 1940s Jean Blue Ratings Collar Denim Item	Hardware / Misc	1	type-from-product-type			British Royal Navy WW2 Jean Blue Ratings Collar	https://lambrino.co.uk/products/british-royal-navy-ww2-jean-blue-ratings-collar-2
y	new	British Royal Navy 1940s Sabre Belt	Hardware / Misc	1				British Royal Navy WW2 Sabre Belt - Small	https://lambrino.co.uk/products/british-royal-navy-sabre-belt
y	new	British 0000s WRAF Officer's Dress Cap	Headwear	1	date-unknown			British WRAF Officer's Dress Cap - X Small 54cm	https://lambrino.co.uk/products/british-wraf-dress-cap
y	new	British Army 0000s 1940's Dress Cap	Headwear	2	date-unknown			British Army 1940's Dress Cap - Medium	https://lambrino.co.uk/products/british-army-1940s-dress-cap-medium
y	new	British Army 0000s 1st Queen's Dragoon Guards with Badge Beret	Headwear	1	date-unknown			British Army Navy Beret w/ Badge - 1st Queen's Dragoon Guards - Medium 58cm	https://lambrino.co.uk/products/british-army-navy-beret-w-badge-1st-queens-dragoon-guards
y	new	British Army 0000s ? Dust Cover Cap	Headwear	1	date-unknown			British Army? Vintage Cap Dust Cover - Small / Medium	https://lambrino.co.uk/products/british-army-vintage-cap-dust-cover
y	new	British Army 0000s Adjutant General's Corps with Badge Beret	Headwear	1	date-unknown			British Army Beret w/ Badge - Adjutant General's Corps - Small 55cm	https://lambrino.co.uk/products/british-army-beret-w-badge-adjutant-generals-corps
y	new	British Army 0000s Adjutant General's Corps with Patch Beret	Headwear	1	date-unknown			British Army Beret w/ Patch - Adjutant General's Corps - Medium	https://lambrino.co.uk/products/british-army-beret-w-patch-adjutant-generals-corps
y	new	British Army 0000s Adjutant Generals Beret	Headwear	2	date-unknown			British Army Adjutant Generals Beret - Large 59cm	https://lambrino.co.uk/products/british-army-adjutant-generals-beret-1
y	new	British Army 0000s Airborne Beret	Headwear	2	date-unknown			British Army Airborne Beret - Medium 58cm	https://lambrino.co.uk/products/british-army-airborne-beret-1
y	new	British Army 0000s Anglian Beret	Headwear	2	date-unknown			British Army Anglian Beret - Large 60cm	https://lambrino.co.uk/products/british-army-anglian-beret-4
y	new	British Army 0000s Bearskin Coldstream Guards Scarlet Red Plume #2 Hat	Headwear	1	date-unknown,fabric-unknown			British Army Bearskin Hat Coldstream Guards Scarlet Red Plume #2	https://lambrino.co.uk/products/british-army-bearskin-hat-coldstream-guards-scarlet-red-plume-2
y	new	British Army 0000s Bearskin Coldstream Guards Scarlet Red Plume #3 Hat	Headwear	1	date-unknown,fabric-unknown			British Army Bearskin Hat Coldstream Guards Scarlet Red Plume #3	https://lambrino.co.uk/products/british-army-bearskin-hat-coldstream-guards-scarlet-red-plume-3
y	new	British Army 0000s Bearskin Coldstream Guards Scarlet Red Plume #4 Hat	Headwear	1	date-unknown,fabric-unknown			British Army Bearskin Hat Coldstream Guards Scarlet Red Plume #4	https://lambrino.co.uk/products/british-army-bearskin-hat-coldstream-guards-scarlet-red-plume-4
y	new	British Army 0000s Bearskin Coldstream Guards Scarlet Red Plume #5 Hat	Headwear	1	date-unknown,fabric-unknown			British Army Bearskin Hat Coldstream Guards Scarlet Red Plume #5	https://lambrino.co.uk/products/british-army-bearskin-hat-coldstream-guards-scarlet-red-plume-5
y	new	British Army 0000s Bearskin Coldstream Guards Scarlet Red Plume Hat	Headwear	1	date-unknown,fabric-unknown			British Army Bearskin Hat Coldstream Guards Scarlet Red Plume	https://lambrino.co.uk/products/british-army-bearskin-hat-scarlet-red-plume
y	new	British Army 0000s Bristol University O.T.C. with Badge Beret	Headwear	3	date-unknown			British Army Bristol University O.T.C. Beret w/ Badge - Large 59cm	https://lambrino.co.uk/products/british-army-bristol-university-o-t-c-beret-w-badge-1
y	new	British Army 0000s Cheshire Regiment Dress Cap	Headwear	1	date-unknown			British Army Dress Cap - Cheshire Regiment - Medium	https://lambrino.co.uk/products/british-army-dress-cap-19
y	new	British Army 0000s Coldstream Grenadier Guards Dress Cap	Headwear	2	date-unknown			British Army Dress Cap - Coldstream Grenadier Guards - Small 55cm	https://lambrino.co.uk/products/british-army-dress-cap-coldstream-grenadier-guards
y	new	British Army 0000s DDPM Desert Cover Mk Helmet	Headwear	1	date-unknown			British Army DDPM Desert Camouflage Helmet Cover Mk 6 - Medium	https://lambrino.co.uk/products/british-army-ddpm-desert-camouflage-helmet-cover-mk-6-medium
y	new	British Army 0000s DPM Woodland Temperate Bush Boonie	Headwear	6	date-unknown			British Army DPM Woodland Camouflage Temperate Boonie Bush Hat - X Small 54cm	https://lambrino.co.uk/products/british-army-dpm-woodland-camouflage-temperate-boonie-bush-hat-x-small-54cm
y	new	British Army 0000s Desert DPM Boonie	Headwear	11	date-unknown			British Army Desert DPM Camouflage Boonie - Small 55cm	https://lambrino.co.uk/products/british-army-desert-dpm-camouflage-field-tailored-boonie-small
y	new	British Army 0000s Desert DPM Field Tailored Boonie	Headwear	1	date-unknown			British Army Desert DPM Camouflage Field Tailored Boonie - Small 56cm	https://lambrino.co.uk/products/british-army-desert-dpm-camouflage-boonie-4
y	new	British Army 0000s Dress Cap	Headwear	8	date-unknown			British Army Dress Cap - Large 59cm	https://lambrino.co.uk/products/british-army-dress-cap-18
y	new	British Army 0000s Egypt Badge Light Infantry Beret	Headwear	1	date-unknown			British Army Light Infantry Beret - Egypt Badge - Medium 57cm	https://lambrino.co.uk/products/british-army-beret-16
y	new	British Army 0000s Exeter University OTC w Badge Beret	Headwear	1	date-unknown			British Army Beret w Badge - Exeter University OTC - Large 59cm	https://lambrino.co.uk/products/british-army-beret-w-badge-exeter-university-otc
y	new	British Army 0000s Foreign Legion Beret	Headwear	1	date-unknown			British Army Beret - Foreign Legion - Medium	https://lambrino.co.uk/products/british-army-beret-foreign-legion
